source,title,make,model,year,mileage,price,location
Jiji,Nissan Sylphy,Nissan,Sylphy,2014,60772,1250000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Serena,Nissan,Serena,2015,725586,1300000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan X-Trail,Nissan,X-Trail,2014,64000,2350000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Latio,Nissan,Latio,2014,85654,1100000.0,"Mombasa, Mvita"
Jiji,Nissan March,Nissan,March,2014,82000,600000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Note,Nissan,Note,2014,146767,835000.0,"Nairobi, Kilimani"
Jiji,Nissan Wingroad,Nissan,Wingroad,2014,64624,970000.0,"Nairobi, South C"
Jiji,Nissan Teana,Nissan,Teana,2014,45943,1480000.0,"Nairobi, Ridgeways"
Jiji,Nissan Juke,Nissan,Juke,2014,,1520000.0,"Kiambu, Kiambu / Kiambu"
Jiji,Nissan Sylphy,Nissan,Sylphy,2014,19544,1290000.0,"Nairobi, Ridgeways"
Jiji,Nissan Sylphy,Nissan,Sylphy,2014,,1170000.0,"Nairobi, Ridgeways"
Jiji,Nissan X-Trail,Nissan,X-Trail,2014,,2200000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan X-Trail,Nissan,X-Trail,2014,53298,2450000.0,"Nairobi, Nairobi Central"
Jiji,Nissan Elgrand,Nissan,Elgrand,2014,89000,1700000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Juke,Nissan,Juke,2013,76000,1680000.0,"Nairobi, Kilimani"
Jiji,Nissan Sylphy,Nissan,Sylphy,2015,,1380000.0,"Nairobi, Kilimani"
Jiji,Nissan Note,Nissan,Note,2014,89657,780000.0,"Nairobi, Kilimani"
Jiji,Nissan X-Trail,Nissan,X-Trail,2014,91000,1950000.0,"Nairobi, Nairobi Central"
Jiji,Nissan Juke,Nissan,Juke,2014,79000,1480000.0,"Nairobi, Nairobi Central"
Jiji,Nissan Juke,Nissan,Juke,2014,73782,1420000.0,"Nairobi, Ridgeways"
Jiji,Nissan Note,Nissan,Note,2014,88000,780000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Note,Nissan,Note,2013,121725,750000.0,"Mombasa, Mvita"
Jiji,Nissan Note,Nissan,Note,2015,,750000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Wingroad,Nissan,Wingroad,2014,,890000.0,"Nairobi, Nairobi Central"
Jiji,Nissan Bluebird,Nissan,Bluebird,2014,,1300000.0,Nairobi
